epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
120,54604.2,0.46782,0.29262,0.92468,0.98592,0.97,0.98615,0.85663,0.66217,0.36943,1.07081,0.0004292,0.0004292,0.0004292
121,54985.1,0.50158,0.31037,0.9272,0.99045,0.955,0.9874,0.84901,0.75108,0.3632,1.1128,0.000416,0.000416,0.000416
122,55363.5,0.48141,0.28751,0.9189,0.97969,0.9649,0.97469,0.83045,0.81764,0.39759,1.19308,0.0004028,0.0004028,0.0004028
123,55742.7,0.46653,0.27871,0.91461,0.98398,0.97,0.98392,0.83107,0.87616,0.37664,1.28525,0.0003896,0.0003896,0.0003896
124,56199.5,0.46703,0.28887,0.91767,0.97482,0.96794,0.98462,0.8333,0.87341,0.38756,1.27807,0.0003764,0.0003764,0.0003764
125,56824.8,0.46297,0.28762,0.9116,0.97675,0.96,0.98089,0.84414,0.85438,0.36249,1.2525,0.0003632,0.0003632,0.0003632
126,57214.5,0.47601,0.29848,0.92139,0.98469,0.96493,0.98589,0.83855,0.88076,0.39132,1.29391,0.00035,0.00035,0.00035
127,57594.6,0.46454,0.28186,0.9099,0.96922,0.97,0.98423,0.84215,0.81678,0.36375,1.2271,0.0003368,0.0003368,0.0003368
128,57975.1,0.45153,0.28452,0.90918,0.9791,0.97,0.98442,0.84321,0.8038,0.36016,1.22658,0.0003236,0.0003236,0.0003236
129,58350.1,0.44515,0.27972,0.90767,0.97478,0.96625,0.98362,0.83726,0.84427,0.37428,1.26485,0.0003104,0.0003104,0.0003104
130,58721.8,0.44256,0.2694,0.89785,0.96998,0.98,0.98733,0.84867,0.80421,0.35261,1.20568,0.0002972,0.0002972,0.0002972
131,59095.8,0.45642,0.27667,0.92361,0.96476,0.95834,0.9803,0.84623,0.81513,0.36731,1.21891,0.000284,0.000284,0.000284
132,59477,0.46333,0.29082,0.91109,0.96937,0.94945,0.97547,0.83861,0.86598,0.38906,1.30345,0.0002708,0.0002708,0.0002708
133,59849.3,0.4672,0.28817,0.91399,0.94616,0.96659,0.97478,0.83083,0.88771,0.37951,1.31604,0.0002576,0.0002576,0.0002576
134,60224.7,0.45786,0.27741,0.91285,0.98464,0.96132,0.9862,0.83241,0.85018,0.36073,1.24074,0.0002444,0.0002444,0.0002444
135,60604.1,0.45072,0.28441,0.91573,0.95831,0.97,0.9793,0.82795,0.86723,0.37572,1.29749,0.0002312,0.0002312,0.0002312
136,60977.1,0.44601,0.27929,0.90491,0.96551,0.97979,0.98081,0.82272,0.85896,0.37445,1.27675,0.000218,0.000218,0.000218
137,61369.6,0.44754,0.27688,0.90381,0.97508,0.985,0.98616,0.83141,0.84367,0.36022,1.28093,0.0002048,0.0002048,0.0002048
138,62005.6,0.44807,0.28094,0.90873,0.96513,0.96873,0.97964,0.83604,0.83635,0.34892,1.28394,0.0001916,0.0001916,0.0001916
139,62514,0.44212,0.28586,0.90633,0.97879,0.965,0.9799,0.83731,0.83543,0.3373,1.28356,0.0001784,0.0001784,0.0001784
140,63044.8,0.44281,0.27755,0.90729,0.97988,0.975,0.98071,0.84235,0.82783,0.35006,1.25953,0.0001652,0.0001652,0.0001652
141,63559.1,0.31816,0.19105,0.81363,0.97608,0.97,0.97499,0.8345,0.7458,0.36186,1.17687,0.000152,0.000152,0.000152
142,64057.9,0.3198,0.1925,0.82018,0.964,0.97,0.97478,0.82978,0.69968,0.34506,1.11114,0.0001388,0.0001388,0.0001388
143,64548.9,0.31764,0.18636,0.82079,0.956,0.97763,0.97851,0.83059,0.77399,0.39003,1.20005,0.0001256,0.0001256,0.0001256
144,65034,0.32139,0.18923,0.80958,0.96453,0.965,0.97558,0.8126,0.85919,0.36366,1.27865,0.0001124,0.0001124,0.0001124
145,65509.7,0.30935,0.18327,0.80779,0.96714,0.97,0.9719,0.81644,0.85393,0.37071,1.25727,9.92e-05,9.92e-05,9.92e-05
146,65985.9,0.31056,0.18418,0.81417,0.96838,0.96,0.9721,0.82788,0.84627,0.36666,1.25804,8.6e-05,8.6e-05,8.6e-05
147,66470.1,0.3088,0.1827,0.80485,0.96994,0.96797,0.97707,0.82721,0.86297,0.36437,1.29306,7.28e-05,7.28e-05,7.28e-05
148,66943.9,0.31083,0.18342,0.80865,0.95903,0.975,0.97834,0.83287,0.87098,0.35845,1.30895,5.96e-05,5.96e-05,5.96e-05
149,67430.1,0.3065,0.18051,0.80794,0.95871,0.975,0.97932,0.83998,0.86201,0.35932,1.28901,4.64e-05,4.64e-05,4.64e-05
150,68192.2,0.30434,0.17713,0.80007,0.96465,0.98,0.9823,0.83962,0.85994,0.36127,1.29048,3.32e-05,3.32e-05,3.32e-05
